Part,Value,Device,Package,Description,Quantity,,Digikey Part #,
"C1, C2",100nF,C-EUC0805,C0805,"CAPACITOR, European symbol",2,8,1276-1007-1-ND,
"JP1, JP2",,M06SMD-STRAIGHT-COMBO,1X06_SMD_STRAIGHT_COMBO,Header 6,2,8,S5598-ND,
"JP3, JP4",,M08SMD-COMBO,1X08_SMD_COMBINED,Header 8,2,8,S5600-ND,
JP5,,M03X22X3_SILK_SM,2X3,"2x3 .1"" header.",1,4,,
L1,,WE-CBF_0805(WB/HS),WE-CBF_0805(W=3.0),WE-CBF SMD EMI Suppression Ferrite Bead,1,4,MH2029-300YCT-ND,
"LED1, LED17-28",,LEDCHIPLED_0805,CHIPLED_0805,LED,13,52,160-1175-1-ND,
"LED4, LED9, LED10, LED14",,LED5MM,LED5MM,LEDs,4,16,160-1952-ND,
Q1,CERAMIC_RESONATOR_SMD6M00G53Z,CERAMIC_RESONATOR_SMD6M00G53Z,CERAMIC_RESONATOR_SMD,Resonator,1,4,,
"R1, R2, R8, R9, R10",1k,R-US_R0805,R0805,"RESISTOR, American symbol",5,20,RMCF0805JT1K00CT-ND,
R5,10k,1KOHM1/4W5%(PTH)HORIZ-KIT,AXIAL-0.3EZ,RES-08380,1,4,CF14JT1K00CT-ND,
"R6, R7",22,R-US_R0805,R0805,"RESISTOR, American symbol",2,8,RMCF0805JT22R0CT-ND,
S1,,TACT_BUTTON,B3F-10XX,OMRON SWITCH,1,4,SW400-ND,
U$2,ATMEGA32U4TQFP,ATMEGA32U4TQFP,SPARKFUN-DIGITALIC_TQFP44,,1,4,ATMEGA32U4-AU-ND,
U$3,USB_MICROB_0001LF,USB_MICROB_0001LF,USB_MICROB_CHEAPER,,1,4,609-4616-1-ND,
U$5,,POT,ALPS_POT,,1,4,P3C3103-ND,
"Z1, Z2",zenor 3.6w,R-EU_R0603,R0603,"RESISTOR, European symbol",2,8,MM3Z3V6T1GOSTR-ND,Change package to SOD-323
